"Friends"
"1" "No difference"
"2" "No difference"
"3" "No difference"
"4" "No difference"
"5" "No difference"
"6" "No difference"
"7" "No difference"
"8" "No difference"
"9" "No difference"
"10" "No difference"
"11" "No difference"
"12" "No difference"
"13" "No difference"
"14" "No difference"
"15" "No difference"
"16" "No difference"
"17" "No difference"
"18" "No difference"
"19" "No difference"
"20" "No difference"
"21" "No difference"
"22" "No difference"
"23" "No difference"
"24" "No difference"
"25" "No difference"
"26" "No difference"
"27" "No difference"
"28" "No difference"
"29" "No difference"
"30" "No difference"
"31" "No difference"
"32" "No difference"
"33" "No difference"
"34" "No difference"
"35" "No difference"
"36" "No difference"
"37" "No difference"
"38" "No difference"
"39" "No difference"
"40" "No difference"
"41" "No difference"
"42" "No difference"
"43" "No difference"
"44" "No difference"
"45" "No difference"
"46" "No difference"
"47" "No difference"
"48" "No difference"
"49" "No difference"
"50" "No difference"
"51" "No difference"
"52" "No difference"
"53" "No difference"
"54" "No difference"
"55" "No difference"
"56" "No difference"
"57" "No difference"
"58" "No difference"
"59" "No difference"
"60" "No difference"
"61" "No difference"
"62" "No difference"
"63" "No difference"
"64" "No difference"
"65" "No difference"
"66" "No difference"
"67" "No difference"
"68" "No difference"
"69" "No difference"
"70" "No difference"
"71" "No difference"
"72" "No difference"
"73" "No difference"
"74" "No difference"
"75" "No difference"
"76" "No difference"
"77" "No difference"
"78" "No difference"
"79" "No difference"
"80" "No difference"
"81" "No difference"
"82" "No difference"
"83" "No difference"
"84" "No difference"
"85" "No difference"
"86" "No difference"
"87" "No difference"
"88" "No difference"
"89" "No difference"
"90" "No difference"
"91" "No difference"
"92" "No difference"
"93" "No difference"
"94" "No difference"
"95" "No difference"
"96" "No difference"
"97" "No difference"
"98" "No difference"
"99" "No difference"
"100" "No difference"
"101" "No difference"
"102" "No difference"
"103" "No difference"
"104" "No difference"
"105" "No difference"
"106" "No difference"
"107" "No difference"
"108" "No difference"
"109" "No difference"
"110" "No difference"
"111" "No difference"
"112" "No difference"
"113" "No difference"
"114" "No difference"
"115" "No difference"
"116" "No difference"
"117" "No difference"
"118" "No difference"
"119" "No difference"
"120" "No difference"
"121" "No difference"
"122" "No difference"
"123" "No difference"
"124" "No difference"
"125" "No difference"
"126" "No difference"
"127" "No difference"
"128" "No difference"
"129" "No difference"
"130" "No difference"
"131" "No difference"
"132" "No difference"
"133" "No difference"
"134" "No difference"
"135" "No difference"
"136" "No difference"
"137" "No difference"
"138" "No difference"
"139" "No difference"
"140" "No difference"
"141" "No difference"
"142" "No difference"
"143" "No difference"
"144" "No difference"
"145" "No difference"
"146" "No difference"
"147" "No difference"
"148" "No difference"
"149" "No difference"
"150" "No difference"
"151" "No difference"
"152" "No difference"
"153" "No difference"
"154" "No difference"
"155" "No difference"
"156" "No difference"
"157" "No difference"
"158" "No difference"
"159" "No difference"
"160" "No difference"
"161" "No difference"
"162" "No difference"
"163" "No difference"
"164" "No difference"
"165" "No difference"
"166" "No difference"
"167" "No difference"
"168" "No difference"
"169" "No difference"
"170" "No difference"
"171" "No difference"
"172" "No difference"
"173" "No difference"
"174" "No difference"
"175" "No difference"
"176" "No difference"
"177" "No difference"
"178" "No difference"
"179" "No difference"
"180" "No difference"
"181" "No difference"
"182" "No difference"
"183" "No difference"
"184" "No difference"
"185" "No difference"
"186" "No difference"
"187" "No difference"
"188" "No difference"
"189" "No difference"
"190" "No difference"
"191" "No difference"
"192" "No difference"
"193" "No difference"
"194" "No difference"
"195" "No difference"
"196" "No difference"
"197" "No difference"
"198" "No difference"
"199" "No difference"
"200" "No difference"
"201" "No difference"
"202" "No difference"
"203" "No difference"
"204" "No difference"
"205" "No difference"
"206" "No difference"
"207" "No difference"
"208" "No difference"
"209" "No difference"
"210" "No difference"
"211" "No difference"
"212" "No difference"
"213" "No difference"
"214" "No difference"
"215" "No difference"
"216" "No difference"
"217" "No difference"
"218" "No difference"
"219" "No difference"
"220" "No difference"
"221" "No difference"
"222" "No difference"
"223" "No difference"
"224" "No difference"
"225" "No difference"
"226" "No difference"
"227" "No difference"
"228" "No difference"
"229" "No difference"
"230" "No difference"
"231" "No difference"
"232" "No difference"
"233" "No difference"
"234" "No difference"
"235" "No difference"
"236" "No difference"
"237" "No difference"
"238" "No difference"
"239" "No difference"
"240" "No difference"
"241" "No difference"
"242" "No difference"
"243" "No difference"
"244" "No difference"
"245" "No difference"
"246" "No difference"
"247" "No difference"
"248" "No difference"
"249" "No difference"
"250" "No difference"
"251" "No difference"
"252" "No difference"
"253" "No difference"
"254" "No difference"
"255" "No difference"
"256" "No difference"
"257" "No difference"
"258" "No difference"
"259" "No difference"
"260" "No difference"
"261" "No difference"
"262" "No difference"
"263" "No difference"
"264" "No difference"
"265" "No difference"
"266" "No difference"
"267" "No difference"
"268" "No difference"
"269" "No difference"
"270" "No difference"
"271" "No difference"
"272" "No difference"
"273" "No difference"
"274" "No difference"
"275" "No difference"
"276" "No difference"
"277" "No difference"
